"submodel","params","true_model_scale","true_dat_gen"
"longitudinal","theta_ou[1,1]",2.4,2.4
"longitudinal","theta_ou[2,1]",0.8,0.8
"longitudinal","theta_ou[1,2]",0.4,0.4
"longitudinal","theta_ou[2,2]",2,2
"longitudinal","sigma_ou[1]",2.14051820403803,2.14051820403803
"longitudinal","sigma_ou[2]",1.88775961489708,1.88775961489708
"longitudinal","rho",-0.272727272727273,-0.272727272727273
"longitudinal","lambda[1]",0.9,0.9
"longitudinal","lambda[2]",0.5,0.5
"longitudinal","lambda[3]",1,1
"longitudinal","lambda[4]",0.8,0.8
"longitudinal","sigma_u[1]",0.4,0.4
"longitudinal","sigma_u[2]",0.5,0.5
"longitudinal","sigma_u[3]",0.8,0.8
"longitudinal","sigma_u[4]",1,1
"longitudinal","sigma_e[1]",0.2,0.2
"longitudinal","sigma_e[2]",0.3,0.3
"longitudinal","sigma_e[3]",0.1,0.1
"longitudinal","sigma_e[4]",0.2,0.2
"survival","beta_0",-3,-3
"survival","beta_1",-0.4,-0.4
"survival","beta_2",0.8,0.8
